class,surv,sex,age
first,yes,female,adult
first,yes,male,child
first,no,female,child
first,no,male,adult
first,no,female,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,yes,female,child
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,child
first,yes,female,adult
first,yes,male,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,male,
first,no,male,adult
first,no,male,adult
first,no,male,
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,no,male,
first,yes,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,no,male,child
first,yes,male,child
first,yes,female,child
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,
first,no,male,
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,child
first,yes,male,adult
first,yes,male,child
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,no,female,adult
first,no,male,
first,yes,female,
first,yes,female,
first,yes,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,child
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,
first,yes,male,adult
first,yes,male,adult
first,yes,female,
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,
first,no,male,adult
first,yes,male,adult
first,yes,female,child
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,yes,male,
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,no,male,
first,no,male,adult
first,yes,female,child
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,male,adult
first,no,male,
first,yes,female,adult
first,yes,female,adult
first,no,female,adult
first,yes,male,adult
first,no,male,adult
first,no,male,adult
first,no,male,adult
first,no,male,adult
first,no,male,adult
first,yes,female,
first,yes,male,adult
first,yes,female,adult
first,no,male,
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,yes,female,child
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,child
first,no,male,adult
first,yes,female,child
first,yes,male,
first,no,male,child
first,yes,female,child
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,yes,male,adult
first,no,male,adult
first,yes,female,
first,no,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,no,male,adult
first,no,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,child
first,no,male,adult
first,yes,female,adult
first,yes,male,
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,no,male,
first,no,male,adult
first,no,male,adult
first,no,male,adult
first,yes,female,adult
first,no,male,child
first,yes,female,child
first,yes,female,adult
first,yes,male,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,
first,no,male,adult
first,no,male,
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,no,male,
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,child
first,yes,female,child
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,
first,yes,female,adult
first,yes,male,
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,yes,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,male,adult
first,no,male,adult
first,no,male,adult
first,no,male,adult
first,no,male,
first,yes,female,child
first,yes,male,adult
first,yes,female,adult
first,yes,male,child
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,
first,yes,male,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,
first,yes,female,adult
first,no,male,adult
first,no,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,child
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,
first,no,male,adult
first,yes,male,child
first,yes,female,adult
first,yes,female,
first,yes,male,adult
first,no,male,adult
first,no,male,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,no,male,
first,yes,female,adult
first,yes,male,
first,no,male,adult
first,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,child
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,child
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,yes,male,adult
second,yes,female,child
second,no,male,adult
second,yes,male,child
second,yes,female,child
second,yes,female,child
second,yes,female,adult
second,yes,male,adult
second,yes,female,child
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,yes,female,child
second,no,male,adult
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,yes,male,child
second,yes,male,adult
second,yes,female,adult
second,yes,female,adult
second,no,male,
second,no,male,child
second,no,female,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,female,adult
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,yes,male,adult
second,yes,female,child
second,no,male,adult
second,yes,female,adult
second,yes,female,adult
second,no,female,adult
second,no,female,
second,no,male,adult
second,no,male,
second,yes,male,child
second,no,male,child
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,no,male,child
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,child
second,yes,female,child
second,yes,female,adult
second,no,male,adult
second,yes,male,child
second,no,male,adult
second,yes,female,adult
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,no,male,child
second,no,male,adult
second,yes,female,adult
second,no,male,child
second,no,male,adult
second,no,male,
second,no,female,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,no,male,child
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,yes,male,child
second,yes,female,adult
second,no,male,adult
second,yes,female,child
second,no,male,adult
second,yes,male,adult
second,no,male,adult
second,yes,female,child
second,no,male,adult
second,yes,female,adult
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,female,child
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,yes,male,adult
second,no,male,adult
second,no,female,adult
second,no,male,adult
second,yes,female,child
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,no,female,adult
second,yes,female,
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,
second,no,male,adult
second,no,female,adult
second,no,male,adult
second,no,male,
second,yes,female,child
second,yes,female,child
second,no,male,adult
second,yes,female,adult
second,yes,female,child
second,yes,female,
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,no,female,adult
second,no,male,
second,yes,male,child
second,no,male,adult
second,yes,female,adult
second,no,male,
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,yes,female,child
second,yes,female,adult
second,yes,male,child
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,child
second,no,male,adult
second,no,male,adult
second,yes,female,child
second,yes,male,child
second,yes,male,child
second,no,male,adult
second,no,male,adult
second,no,male,child
second,no,male,adult
second,yes,male,adult
second,yes,female,adult
second,no,male,adult
second,yes,male,adult
second,yes,male,
second,no,male,adult
second,yes,male,adult
second,no,male,adult
second,no,male,
second,yes,female,adult
second,no,male,child
second,no,male,
second,no,male,adult
second,yes,female,adult
second,yes,female,child
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,yes,male,adult
second,no,male,adult
second,yes,female,child
second,yes,female,child
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,yes,male,child
second,yes,male,child
second,yes,female,adult
second,yes,female,adult
second,no,male,child
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,yes,female,child
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,no,male,adult
second,no,male,child
second,no,male,child
second,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,no,female,adult
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,adult
second,yes,female,adult
second,no,male,
second,yes,female,child
second,yes,female,adult
second,yes,female,adult
second,no,male,adult
second,yes,female,adult
second,yes,male,child
second,yes,female,child
second,yes,female,adult
second,yes,female,child
second,yes,female,child
second,no,male,adult
second,yes,female,adult
second,no,male,adult
second,no,male,
second,yes,male,adult
second,yes,male,
second,yes,female,adult
second,no,female,adult
third,no,male,adult
third,no,male,child
third,no,male,child
third,yes,female,adult
third,yes,female,child
third,yes,male,adult
third,yes,male,adult
third,yes,female,child
third,no,male,adult
third,no,male,adult
third,no,female,adult
third,yes,male,child
third,yes,female,child
third,yes,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,child
third,no,male,adult
third,yes,female,child
third,no,male,child
third,no,female,child
third,no,female,child
third,yes,female,child
third,no,female,adult
third,no,female,child
third,no,female,child
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,no,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,female,child
third,no,male,adult
third,no,male,adult
third,no,male,child
third,no,male,child
third,yes,male,child
third,no,male,child
third,yes,female,child
third,no,male,adult
third,yes,male,adult
third,yes,female,adult
third,yes,female,adult
third,no,male,adult
third,no,male,adult
third,no,female,child
third,no,male,adult
third,no,male,adult
third,yes,female,child
third,no,male,adult
third,no,male,adult
third,yes,female,adult
third,yes,female,child
third,yes,female,child
third,yes,female,child
third,yes,female,adult
third,yes,female,child
third,no,male,adult
third,no,male,adult
third,yes,male,adult
third,no,female,child
third,no,female,adult
third,no,female,adult
third,no,male,adult
third,no,male,child
third,no,male,adult
third,no,male,adult
third,no,male,
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,no,male,child
third,no,male,adult
third,no,male,child
third,no,female,child
third,no,male,
third,no,female,
third,no,female,
third,no,male,adult
third,no,female,adult
third,no,male,adult
third,yes,female,adult
third,no,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,female,child
third,yes,male,adult
third,no,male,child
third,no,female,child
third,no,female,adult
third,no,female,adult
third,no,male,child
third,no,male,adult
third,no,male,child
third,no,male,child
third,no,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,
third,no,female,
third,no,male,adult
third,no,male,adult
third,yes,female,child
third,no,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,child
third,no,male,adult
third,yes,male,child
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,yes,female,adult
third,no,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,child
third,no,male,adult
third,yes,male,child
third,yes,male,child
third,yes,female,adult
third,no,male,adult
third,no,male,child
third,yes,female,child
third,no,male,adult
third,no,male,child
third,no,male,adult
third,yes,male,adult
third,no,female,adult
third,no,male,child
third,yes,female,adult
third,yes,male,adult
third,no,male,child
third,no,male,adult
third,no,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,child
third,no,male,
third,yes,female,
third,yes,male,adult
third,yes,female,adult
third,yes,male,adult
third,no,male,child
third,yes,male,child
third,yes,female,child
third,no,male,adult
third,yes,female,adult
third,no,male,adult
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,adult
third,yes,female,child
third,no,male,child
third,no,male,adult
third,no,male,adult
third,no,male,
third,no,male,adult
third,yes,male,child
third,yes,female,adult
third,no,female,adult
third,yes,female,adult
third,no,male,adult
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,yes,female,adult
third,no,male,child
third,no,male,child
third,no,male,adult
third,no,male,
third,no,male,adult
third,no,male,child
third,no,male,child
third,no,male,adult
third,yes,female,child
third,no,male,
third,no,male,adult
third,no,male,adult
third,yes,male,
third,no,male,child
third,no,female,
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,
third,yes,male,
third,no,female,adult
third,no,female,child
third,no,male,
third,no,male,child
third,no,male,child
third,no,female,adult
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,
third,no,male,
third,no,male,adult
third,yes,female,child
third,yes,female,
third,yes,male,child
third,no,male,adult
third,no,male,adult
third,yes,female,adult
third,no,male,adult
third,no,male,child
third,no,male,child
third,no,male,child
third,no,female,child
third,no,female,child
third,no,male,child
third,no,male,adult
third,no,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,child
third,no,female,adult
third,no,female,child
third,no,male,
third,no,male,
third,no,male,adult
third,yes,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,yes,female,adult
third,no,female,
third,no,male,adult
third,no,male,
third,no,male,child
third,yes,female,
third,yes,male,adult
third,yes,male,
third,no,female,child
third,yes,female,adult
third,no,female,adult
third,yes,female,adult
third,no,male,adult
third,no,female,adult
third,no,female,
third,yes,female,child
third,yes,female,adult
third,no,male,adult
third,no,male,adult
third,yes,female,adult
third,no,male,
third,yes,female,
third,no,male,adult
third,yes,male,
third,no,male,adult
third,no,male,
third,no,female,adult
third,no,female,adult
third,no,male,
third,yes,male,adult
third,yes,male,adult
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,child
third,yes,female,
third,yes,male,
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,yes,male,child
third,yes,female,child
third,no,male,adult
third,no,male,adult
third,no,male,child
third,yes,female,adult
third,no,male,
third,no,female,
third,no,male,
third,no,female,
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,no,female,adult
third,no,female,adult
third,yes,male,adult
third,no,male,child
third,no,male,adult
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,no,male,adult
third,yes,female,child
third,yes,male,adult
third,no,male,
third,no,male,child
third,no,male,
third,no,male,
third,yes,female,
third,yes,female,
third,no,male,adult
third,no,male,adult
third,yes,male,
third,no,male,
third,no,female,
third,no,male,
third,no,male,
third,no,male,
third,no,female,adult
third,no,male,adult
third,yes,female,child
third,yes,male,adult
third,yes,female,adult
third,no,female,child
third,no,male,child
third,no,female,adult
third,no,male,
third,yes,male,adult
third,no,male,
third,no,female,adult
third,no,male,
third,yes,male,
third,no,male,
third,yes,female,adult
third,no,male,
third,yes,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,yes,male,adult
third,no,male,
third,no,female,
third,no,female,
third,no,female,
third,no,female,
third,no,male,adult
third,no,male,adult
third,no,female,
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,female,adult
third,no,female,adult
third,no,male,adult
third,no,female,adult
third,yes,male,adult
third,no,male,
third,no,male,adult
third,no,male,
third,no,male,adult
third,no,female,adult
third,no,male,
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,yes,female,adult
third,yes,male,adult
third,no,male,
third,no,male,
third,yes,female,
third,yes,male,adult
third,no,male,adult
third,no,female,
third,no,male,
third,no,male,
third,no,male,adult
third,yes,male,
third,no,female,adult
third,yes,female,
third,no,male,
third,no,male,adult
third,no,male,adult
third,yes,female,
third,no,male,
third,yes,female,
third,yes,male,
third,yes,female,
third,yes,female,
third,yes,male,
third,yes,female,
third,no,male,
third,yes,female,
third,yes,female,child
third,no,female,adult
third,no,male,
third,no,male,adult
third,no,female,child
third,no,female,
third,no,female,
third,no,female,
third,no,male,adult
third,no,male,
third,yes,male,adult
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,
third,yes,female,
third,no,male,adult
third,yes,male,child
third,yes,female,adult
third,no,male,
third,yes,female,
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,
third,yes,male,
third,yes,male,
third,yes,male,
third,yes,female,
third,yes,female,
third,no,male,
third,yes,female,
third,yes,female,adult
third,no,male,
third,yes,female,
third,yes,female,
third,yes,female,
third,no,male,child
third,no,male,adult
third,yes,female,child
third,yes,female,child
third,yes,male,adult
third,yes,female,child
third,no,male,adult
third,no,male,
third,no,male,
third,no,female,
third,no,male,
third,yes,male,child
third,yes,female,child
third,no,female,adult
third,no,male,adult
third,yes,female,child
third,yes,female,adult
third,no,male,adult
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,no,male,adult
third,yes,female,adult
third,no,male,adult
third,no,male,
third,no,male,
third,yes,female,
third,no,male,
third,no,male,
third,no,male,
third,no,male,adult
third,no,female,
third,yes,female,
third,yes,female,
third,yes,female,adult
third,yes,male,
third,yes,female,
third,yes,male,child
third,no,male,adult
third,no,male,adult
third,no,male,
third,no,female,adult
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,no,female,adult
third,no,female,adult
third,no,male,adult
third,no,male,child
third,yes,female,adult
third,no,female,
third,no,male,child
third,no,male,child
third,no,female,child
third,no,female,child
third,no,female,adult
third,no,male,child
third,no,male,child
third,no,male,child
third,no,male,child
third,no,male,child
third,no,female,adult
third,no,male,adult
third,no,male,child
third,no,male,
third,no,male,adult
third,no,male,child
third,no,female,child
third,no,female,adult
third,no,male,
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,yes,male,adult
third,yes,male,
third,yes,female,
third,yes,female,
third,no,female,
third,no,male,adult
third,no,female,adult
third,no,male,child
third,no,male,
third,no,male,adult
third,no,female,child
third,yes,male,adult
third,no,male,
third,no,male,child
third,no,male,adult
third,no,male,
third,no,female,
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,child
third,no,male,child
third,no,male,child
third,no,male,child
third,no,male,child
third,no,female,adult
third,no,female,adult
third,no,male,adult
third,yes,female,
third,no,male,
third,no,female,
third,no,male,adult
third,no,female,adult
third,no,male,
third,no,male,
third,no,female,child
third,no,male,child
third,no,female,adult
third,yes,female,
third,no,male,adult
third,no,male,child
third,yes,male,
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,
third,no,male,child
third,no,female,
third,no,female,
third,no,female,
third,no,female,
third,no,male,
third,no,male,
third,no,male,
third,no,male,
third,no,female,
third,no,male,adult
third,yes,female,adult
third,no,male,adult
third,no,male,
third,no,male,
third,no,male,
third,yes,female,child
third,yes,female,adult
third,yes,female,child
third,yes,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,
third,no,male,
third,no,male,
third,yes,male,adult
third,no,male,
third,yes,female,
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,
third,no,male,adult
third,no,male,adult
third,yes,female,child
third,no,male,child
third,no,male,child
third,no,female,child
third,no,female,child
third,no,male,adult
third,no,female,adult
third,no,male,
third,no,male,
third,no,male,
third,no,male,
third,yes,female,
third,no,male,child
third,no,male,adult
third,no,male,
third,no,male,adult
third,no,male,
third,no,male,adult
third,yes,female,adult
third,no,male,adult
third,no,male,adult
third,no,male,child
third,no,female,adult
third,yes,male,adult
third,no,male,adult
third,no,female,child
third,no,female,adult
third,yes,male,child
third,yes,male,adult
third,no,male,adult
third,no,male,adult
third,yes,male,child
third,no,male,adult
third,yes,male,adult
third,no,male,adult
third,yes,male,child
third,no,male,
third,no,male,
third,no,male,
third,yes,female,child
third,no,male,
third,no,male,
third,yes,female,
third,no,male,adult
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,
third,yes,male,adult
third,no,male,
third,yes,male,child
third,yes,female,child
third,yes,female,adult
third,no,male,adult
third,yes,female,child
third,yes,female,adult
third,no,male,
third,no,male,child
third,no,male,adult
third,no,female,child
third,no,male,adult
third,no,female,adult
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,female,child
third,no,male,adult
third,no,male,child
third,no,female,adult
third,yes,male,adult
third,no,male,adult
third,no,female,child
third,no,male,adult
third,no,male,adult
third,no,male,
third,no,male,
third,no,male,
third,no,male,adult
third,yes,female,adult
third,no,male,adult
third,no,male,child
third,no,male,adult
third,yes,female,adult
third,no,male,
third,no,male,
third,no,male,
third,no,male,adult
third,no,male,adult
third,no,male,adult
third,no,male,
third,no,male,adult
third,no,male,adult
third,yes,female,child
third,no,male,adult
third,no,male,
third,no,male,
third,no,female,child
third,no,female,
third,no,male,adult
third,no,male,adult
third,no,male,adult