Mamífero,Orden,El Duración de Vida,Altura,masa,Sueño,Velocidad,Habitat,Dieta
Elefante africano,Proboscidae,70,4,6400,3,40,tierra,plantas
Elefante asiático,Proboscidae,70,3,5000,4,40,tierra,plantas
Gran murciélago marrón,Chiroptera,19,0.1,0.02,20,40,tierra,carne
Delfín nariz de botella,Cetacea,25,3.5,635,5,37,agua,carne
Cheetah,Carnivora,14,1.5,50,12,110,tierra,carne
Chimpancé,Primate,40,1.5,68,10,,tierra,ambas
Gato doméstico,Carnivora,16,0.8,4.5,12,50,tierra,carne
Burro,Perissodactyla,40,1.2,187,3,50,tierra,plantas
Jirafa,Artiodactyla,25,5,1100,2,50,tierra,plantas
Lobo gris,Carnivora,16,1.6,80,13,64,tierra,carne
Elefante marino,Pinnipedia,30,2.1,275,6,19,ambos,carne
Ardilla,Rodentia,9,0.3,0.1,15,19,tierra,ambas
Caballo,Perissodactyla,25,1.5,521,3,69,tierra,plantas
Ratón,Rodentia,3,0.1,0.03,12,13,tierra,ambas
Humano,Primate,80,1.9,80,8,45,tierra,ambas
Jaguar,Carnivora,20,1.8,115,11,60,tierra,carne
Ballena asesina,Cetacea,50,6.5,4000,,48,agua,carne
León,Carnivora,15,2.5,250,20,80,tierra,carne
Zarigüeya,Didephimorphia,5,0.5,5,19,,tierra,ambas
Armadillo,Xenarthra,10,0.6,7,17,1,tierra,carne
Lechuza,Primate,12,0.4,1,17,,tierra,ambas
Mono,Primate,20,0.9,13,,55,tierra,ambas
Cerdo,Artiodactyla,10,1,192,8,18,tierra,ambas
Antílope,Artiodactyla,10,0.9,70,,98,tierra,plantas
Conejo,Lagomorpha,5,0.5,3,11,56,tierra,plantas
Zorro rojo,Carnivora,7,0.8,5,10,48,tierra,ambas
Hiena,Carnivora,25,0.9,70,18,64,tierra,carne